tokenname;genger;origin;
ADA;F;bielsko;
ADAMINA;F;bielsko;
ADELA;F;bielsko;
ADELA==;F;bielsko;
ADELAJDA;F;bielsko;
ADOLFA;F;bielsko;
ADOLFINA;F;bielsko;
ADRIAN;F;bielsko;
ADRIANA;F;bielsko;
ADRIANNA;F;bielsko;
ADRUIANNA;F;bielsko;
AGATA;F;bielsko;
AGATA==;F;bielsko;
AGNIESZAK;F;bielsko;
AGNIESZKA;F;bielsko;
AGNIESZKA,MAREK;F;bielsko;
AGNISZKA;F;bielsko;
ALAKSANDRA;F;bielsko;
ALBINA;F;bielsko;
ALDONA;F;bielsko;
ALEKSANDER;F;bielsko;
ALEKSANDERA;F;bielsko;
ALEKSANDRA;F;bielsko;
ALEKSANDRA I EMANUEL;F;bielsko;
ALEKSANDRA==;F;bielsko;
ALENA;F;bielsko;
ALESSA;F;bielsko;
ALFRED;F;bielsko;
ALFREDA;F;bielsko;
ALICJA;F;bielsko;
ALICJA==;F;bielsko;
ALINA;F;bielsko;
ALINA==;F;bielsko;
ALODIA;F;bielsko;
ALOJZA;F;bielsko;
ALOJZJA;F;bielsko;
ALOJZY;F;bielsko;
ALONA;F;bielsko;
AŁŁA;F;bielsko;
AMALIA;F;bielsko;
AMANDA;F;bielsko;
AMBROŻY;F;bielsko;
AMELIA;F;bielsko;
ANAHIT;F;bielsko;
ANAIT;F;bielsko;
ANASTASIIA;F;bielsko;
ANASTASIYA;F;bielsko;
ANASTAZJA;F;bielsko;
ANATOLIA;F;bielsko;
ANDRONA;F;bielsko;
ANDRZEJ;F;bielsko;
ANDRZELIKA;F;bielsko;
ANETA;F;bielsko;
ANETTA;F;bielsko;
ANGELA;F;bielsko;
ANGELIKA;F;bielsko;
ANGELINA;F;bielsko;
ANICETA;F;bielsko;
ANIELA;F;bielsko;
ANIELA==;F;bielsko;
ANIKA;F;bielsko;
ANITA;F;bielsko;
ANITA==;F;bielsko;
ANN;F;bielsko;
ANNA;F;bielsko;
ANNA-WANDA;F;bielsko;
ANNA==;F;bielsko;
ANNS;F;bielsko;
ANTONI;F;bielsko;
ANTONIA;F;bielsko;
ANTONINA;F;bielsko;
APOLONIA;F;bielsko;
ARKADIA;F;bielsko;
ARKADIUSZ;F;bielsko;
ARLETA;F;bielsko;
ARLINA;F;bielsko;
ARTUR;F;bielsko;
ASTRA;F;bielsko;
ASTRYDA;F;bielsko;
ATENA;F;bielsko;
AUGUSTYNA;F;bielsko;
AURELIA;F;bielsko;
AURELIE;F;bielsko;
BALBINA;F;bielsko;
BARBARA;F;bielsko;
BARBARA "ASTRA";F;bielsko;
BARBARA BRONISLAWA;F;bielsko;
BARBARA,EUGENIUSZ;F;bielsko;
BARBARA==;F;bielsko;
BARBARTA;F;bielsko;
BARNADETA;F;bielsko;
BARTŁOMIEJ;F;bielsko;
BEATA;F;bielsko;
BEATRYCZE;F;bielsko;
BENEDYKTA;F;bielsko;
BENIGNA;F;bielsko;
BENITA;F;bielsko;
BERBADETTA;F;bielsko;
BERENIKA;F;bielsko;
BERNADETA;F;bielsko;
BERNADETTA;F;bielsko;
BERNADYNA;F;bielsko;
BERNARDA;F;bielsko;
BERNARDA==;F;bielsko;
