tokenname;genger;origin;
ABEER;F;katowice;
ABIGAIL;F;katowice;
ABRAR;F;katowice;
ADA;F;katowice;
ADAM;F;katowice;
ADAMINA;F;katowice;
ADEL;F;katowice;
ADELA;F;katowice;
ADELAJDA;F;katowice;
ADELE;F;katowice;
ADELIYA;F;katowice;
ADELSBURG ETTMAYER MARTA;F;katowice;
ADELTRUDA;F;katowice;
ADINA;F;katowice;
ADIYA;F;katowice;
ADOLFINA;F;katowice;
ADRIANA;F;katowice;
ADRIANNA;F;katowice;
ADRINE;F;katowice;
AELITA;F;katowice;
AFRA;F;katowice;
AFRODYTA;F;katowice;
AGATA;F;katowice;
AGATHE;F;katowice;
AGNES;F;katowice;
AGNESSA;F;katowice;
AGNIESZKA;F;katowice;
AGNIUESZKA;F;katowice;
AIDANA;F;katowice;
AIGERIM;F;katowice;
AIKATERINI;F;katowice;
AINUR;F;katowice;
AISHA;F;katowice;
AISTE;F;katowice;
AIZHAN;F;katowice;
AKANE;F;katowice;
AKBOTA;F;katowice;
AKEKSANDRA;F;katowice;
AKSANA;F;katowice;
AKYLAI;F;katowice;
AL'BINA;F;katowice;
ALA;F;katowice;
ALANOUD;F;katowice;
ALBENA;F;katowice;
ALBERTYNA;F;katowice;
ALBINA;F;katowice;
ALDONA;F;katowice;
ALEKKSANDRA;F;katowice;
ALEKSANDA;F;katowice;
ALEKSANDER;F;katowice;
ALEKSANDRA;F;katowice;
ALEKSNDRA;F;katowice;
ALENA;F;katowice;
ALESANDRA;F;katowice;
ALESIA;F;katowice;
ALEV;F;katowice;
ALEX;F;katowice;
ALEXA;F;katowice;
ALEXANDRA;F;katowice;
ALFERDA;F;katowice;
ALFIRA;F;katowice;
ALFONSA;F;katowice;
ALFRED;F;katowice;
ALFREDA;F;katowice;
ALHAM;F;katowice;
ALIAKSANDRA;F;katowice;
ALICA;F;katowice;
ALICE;F;katowice;
ALICIA;F;katowice;
ALICJA;F;katowice;
ALIESIA;F;katowice;
ALINA;F;katowice;
ALISA;F;katowice;
ALIYAH;F;katowice;
ALKSANDRA;F;katowice;
ALLA;F;katowice;
ALMA;F;katowice;
ALMAS;F;katowice;
ALMUDENA;F;katowice;
ALODIA;F;katowice;
ALOJZA;F;katowice;
ALOJZY;F;katowice;
ALONA;F;katowice;
ALPHORITE;F;katowice;
ALUA;F;katowice;
ALZ(BE(TA;F;katowice;
ALZ(BETA;F;katowice;
ALŻBETA;F;katowice;
AŁŁA;F;katowice;
AMALIA;F;katowice;
AMANDA;F;katowice;
AMBIYAH;F;katowice;
AMBROZJA;F;katowice;
AMEL;F;katowice;
AMELIA;F;katowice;
AMELIE;F;katowice;
AMINA;F;katowice;
AMIRA;F;katowice;
AMMAN;F;katowice;
