tokenname;genger;origin;
AARON;M;bielsko;
ABDELMOTTALEB;M;bielsko;
ABDUL-KODER;M;bielsko;
ABEL;M;bielsko;
ADAM;M;bielsko;
ADAM==;M;bielsko;
ADELA;M;bielsko;
ADOLF;M;bielsko;
ADRIAN;M;bielsko;
AGATA;M;bielsko;
AGNIESZKA;M;bielsko;
AHSAN;M;bielsko;
ALAN;M;bielsko;
ALBERT;M;bielsko;
ALBERTO;M;bielsko;
ALBIN;M;bielsko;
ALEKSADER;M;bielsko;
ALEKSANDER;M;bielsko;
ALEKSANDER ANDRZEJ;M;bielsko;
ALEKSANDRA;M;bielsko;
ALEKSANDRA I PAWEŁ;M;bielsko;
ALEKSNDER;M;bielsko;
ALEKSY;M;bielsko;
ALESSANDRO;M;bielsko;
ALEX;M;bielsko;
ALEXANDER;M;bielsko;
ALEXEY;M;bielsko;
ALFONS;M;bielsko;
ALFRED;M;bielsko;
ALFREDA;M;bielsko;
ALI MELHEM MAHMOUD;M;bielsko;
ALICJA;M;bielsko;
ALICJA==;M;bielsko;
ALINA;M;bielsko;
ALIROU;M;bielsko;
ALOJZY;M;bielsko;
AMADEUSZ;M;bielsko;
AMBROŻY;M;bielsko;
AMIT;M;bielsko;
ANASTAZIUS;M;bielsko;
ANASTAZJA;M;bielsko;
ANATOL;M;bielsko;
ANATOLIY;M;bielsko;
ANATTOLIE;M;bielsko;
ANDRANIK;M;bielsko;
ANDREW;M;bielsko;
ANDRII;M;bielsko;
ANDRIY;M;bielsko;
ANDRZAK;M;bielsko;
ANDRZEJ;M;bielsko;
ANDRZEJ,BARBARA;M;bielsko;
ANDRZEJ,RENATA;M;bielsko;
ANDRZEJ==;M;bielsko;
ANDY;M;bielsko;
ANH;M;bielsko;
ANNA;M;bielsko;
ANNA==;M;bielsko;
ANSELMO;M;bielsko;
ANTON;M;bielsko;
ANTONI;M;bielsko;
ANTONI I AGNIESZKA;M;bielsko;
ANTONI, BARBARA;M;bielsko;
ANTONII;M;bielsko;
ANTONINA;M;bielsko;
ANTONIO;M;bielsko;
ANTONY;M;bielsko;
ARIEL;M;bielsko;
ARKADIIUSZ;M;bielsko;
ARKADIUASZ;M;bielsko;
ARKADIUSZ;M;bielsko;
ARKADZIUSZ;M;bielsko;
ARMAND;M;bielsko;
ARMANDO;M;bielsko;
ARNAUD;M;bielsko;
ARNOLD;M;bielsko;
ARON;M;bielsko;
ARSENIUSZ;M;bielsko;
ARTAK;M;bielsko;
ARTEM;M;bielsko;
ARTEMA;M;bielsko;
ARTUR;M;bielsko;
ASTRO S.C.;M;bielsko;
AUGUST;M;bielsko;
AUGUSTYN;M;bielsko;
AURELIAN;M;bielsko;
AURELIUSZ;M;bielsko;
AVDYL;M;bielsko;
AYAD;M;bielsko;
AZAT;M;bielsko;
BAKI;M;bielsko;
BARBARA;M;bielsko;
BARNABA;M;bielsko;
BART;M;bielsko;
BARTHOLOMAUS;M;bielsko;
BARTLOMIEJ;M;bielsko;
BARTŁOMIEJ;M;bielsko;
BARTŁOMIEJ==;M;bielsko;
BARTOSZ;M;bielsko;
BAZYL;M;bielsko;
BAZYLI;M;bielsko;
BEATA;M;bielsko;
BENEDYKT;M;bielsko;
BENIAMIN;M;bielsko;
BENJAMIN;M;bielsko;
BENON;M;bielsko;
BERNARD;M;bielsko;
BERTHOLD;M;bielsko;
BIŁKO;M;bielsko;
BLANDYNA;M;bielsko;
BŁAŻEJ;M;bielsko;
BOBKÓ;M;bielsko;
BODAN;M;bielsko;
BOELSŁAW;M;bielsko;
BOGADN;M;bielsko;
BOGDAN;M;bielsko;
BOGDAN,DANUTA;M;bielsko;
BOGDAN==;M;bielsko;
BOGDANA;M;bielsko;
BOGUMIŁ;M;bielsko;
BOGUSLAW;M;bielsko;
BOGUSŁAW;M;bielsko;
BOGUSŁAWA;M;bielsko;
BOHDAN;M;bielsko;
BOLESŁAW;M;bielsko;
BONIFACY;M;bielsko;
BORYS;M;bielsko;
BOZHIDAR;M;bielsko;
BOŻENA;M;bielsko;
BRAJAN;M;bielsko;
